doi,functionals,basis_sets,softwares,elements
10.1038/s41929-023-00979-4,,,,C Fe H N O S
10.1038/s41929-023-00986-5,,,,Br C H N O
10.1038/s41929-023-00987-4,,,,C Fe H N O
10.1038/s41929-023-01009-z,,,,Li
10.1038/s41929-023-01014-2,,,,C H N O
10.1038/s41929-023-01039-7,,,,B Be C H He Li N O
10.1038/s41929-023-01067-3,,,,Ni
10.1038/s41929-023-01068-2,,,,C H N O
10.1038/s41929-023-01097-x,,,,C H O P
10.1038/s41929-023-01106-z,,,,Sc Ti
10.1038/s41929-024-01116-5,,,,B
10.1038/s41929-024-01119-2,,,,Ag C H O P
10.1038/s41929-024-01120-9,,,,C H I O P Rh
10.1038/s41929-024-01130-7,,,,Au C Cu H N O Pd S
10.1038/s41929-024-01152-1,,,,C H N O
10.1038/s41929-024-01173-w,,,,C H N O Pt
10.1038/s41929-024-01182-9,,,,C Cu H N
10.1038/s41929-024-01213-5,,,,B C Cu H N O S
10.1038/s41929-024-01231-3,,,,Al Fe N O Si
10.1038/s41929-024-01234-0,,,,C Cl H
10.1038/s41929-024-01239-9,,,,C H O
10.1038/s41929-024-01253-x,,,,Br C Cu F H N O
10.1038/s41929-024-01262-w,,,,C Fe H N O P S
10.1038/s41929-024-01276-4,,,,C Cu H N O
10.1038/s41929-024-01282-6,,,,B Be C H He Li N O
10.1038/s41929-025-01293-x,,,,C Fe H N
10.1038/s41929-025-01306-9,,,,C H N O
10.1038/s41929-025-01322-9,,,,C H O
10.1038/s42004-018-0016-0,,,,H
10.1038/s42004-018-0065-4,,,,C Cu H P
10.1038/s42004-018-0072-5,,,,C H N O
10.1038/s42004-019-0125-4,,,,C H
10.1038/s42004-019-0132-5,,,,C H Ni O
10.1038/s42004-019-0149-9,,,,H
10.1038/s42004-019-0228-y,,,,C H Te
10.1038/s42004-019-0233-1,,,,H O
10.1038/s42004-019-0246-9,,,,C Cl H N O Zn
10.1038/s42004-020-00343-8,,,,B C H O
10.1038/s42004-020-00378-x,,,,C H N O
10.1038/s42004-020-00428-4,,,,Ag Au Cu Ni Pd Pt
10.1038/s42004-020-0287-0,,,,C H N O Pd
10.1038/s42004-021-00520-3,,,,C Cl H O
10.1038/s42004-022-00675-7,,,,Ag C H N S
10.1038/s42004-022-00701-8,,,,H
10.1038/s42004-022-00775-4,,,,B Be C H He Ir Li N O P S
10.1038/s42004-023-00824-6,,,,Br C H N O
10.1038/s42004-023-00840-6,,,,C Cu F H N O
10.1038/s42004-023-00849-x,,,,H
10.1038/s42004-023-00921-6,,,,C H N O S
10.1038/s42004-023-00979-2,,,,C H O
10.1038/s42004-024-01180-9,,,,C H N O
10.1038/s42004-024-01208-0,,,,B Be C F H He Li N Ne O
10.1038/s42004-024-01326-9,,,,C H O P S
10.1038/s43246-024-00568-3,,,,K Li Na
10.1038/s43246-025-00769-4,,,,Ag
10.1038/s43588-023-00424-3,,,,H
10.1038/s44160-021-00006-z,,,,Br C H N Ni
10.1038/s44160-021-00023-y,,,,C F H
10.1038/s44160-022-00044-1,,,,C Mo N P
10.1038/s44160-022-00085-6,,,,C H P Pd
10.1038/s44160-022-00109-1,,,,H He
10.1038/s44160-022-00114-4,,,,C Co H N O
10.1038/s44160-022-00123-3,,,,C H P
10.1038/s44160-022-00128-y,,,,C F H N
10.1038/s44160-022-00137-x,,,,B C H N O
10.1038/s44160-022-00139-9,,,,C H O
10.1038/s44160-022-00191-5,,,,C H N O
10.1038/s44160-022-00194-2,,,,C Cl F H O Os P S
10.1038/s44160-022-00208-z,,,,C H N Ni O
10.1038/s44160-022-00233-y,,,,C H N O Pd
10.1038/s44160-023-00262-1,,,,C Cs H O
10.1038/s44160-023-00277-8,,,,C F H S
10.1038/s44160-023-00279-6,,,,C H N Si
10.1038/s44160-023-00283-w,,,,Be
10.1038/s44160-023-00284-9,,,,C H N
10.1038/s44160-023-00291-w,,,,C H O S
10.1038/s44160-023-00293-8,,,,C F H N O S
10.1038/s44160-023-00306-6,,,,C H O
10.1038/s44160-023-00325-3,,,,C N Si
10.1038/s44160-023-00349-9,,,,Br C H N Ni
10.1038/s44160-023-00353-z,,,,C H O S
10.1038/s44160-023-00365-9,,,,Br C F H N O
10.1038/s44160-023-00373-9,,,,C Cl H O
10.1038/s44160-023-00378-4,,,,C H O
10.1038/s44160-023-00387-3,,,,H He Li
10.1038/s44160-023-00408-1,,,,P
10.1038/s44160-023-00465-6,,,,C O
10.1038/s44160-024-00516-6,,,,C H N
10.1038/s44160-024-00527-3,,,,H
10.1038/s44160-024-00536-2,,,,C F H N O
10.1038/s44160-024-00537-1,,,,Al C H Li N O P Pd
10.1038/s44160-024-00555-z,,,,C H O
10.1038/s44160-024-00574-w,,,,C H N O S
10.1038/s44160-024-00581-x,,,,C Co H I N O
10.1038/s44160-024-00587-5,,,,C H
10.1038/s44160-024-00595-5,,,,C H N
10.1038/s44160-024-00596-4,,,,C H O
10.1038/s44160-024-00618-1,,,,C H
10.1038/s44160-024-00631-4,,,,B C F H S
10.1038/s44160-024-00639-w,,,,C Ga H
10.1038/s44160-024-00654-x,,,,C Cu H N O
10.1038/s44160-024-00659-6,,,,C H O
10.1038/s44160-024-00664-9,,,,C H Si
10.1038/s44160-025-00745-3,,,,C H O
10.1038/s44160-025-00760-4,,,,B Be C He Li
10.1038/s44160-025-00770-2,,,,C H N O Ru
10.1038/s44160-025-00785-9,,,,B Be C F H He Li N O
10.1038/s44160-025-00790-y,,,,Al C H N
10.1038/srep01411,,,,Ds H Ne
10.1038/srep02557,,,,B Be C F H He Li N O
10.1038/srep04467,,,,B Be H He Li
10.1038/srep07225,,,,C H N O
10.1038/srep10013,,,,W
10.1038/srep15934,,,,C H N O
10.1038/srep36211,,,,C H
10.1038/srep39392,,,,C H N O Zn
10.1039/B006368L,,,,C F H Ni P
10.1039/B102396A,,,,C H Mn P
10.1039/B105452J,B3LYP,"6-311G(3d, 3p) | 6-311G(3d,3p) | 6-31G(d)",AIMPAC | Gaussian 98,
10.1039/B106555F,,,,C H O
10.1039/B208678F,B3LYP,"6-31G(d,p) | LACV3P** | LACVP** | cc-pVTZ(-f)",Jaguar,C H Mo P
10.1039/B210036N,B3PW91,"(8s7p5d)/[6s5p3d] | 6-31G(d,p)",Gaussian 98,
10.1039/B212088G,,,,Pt
10.1039/B302693K,,,,Mn O
10.1039/B303762B,B3LYP,LANL2DZ,Gaussian 98,
10.1039/B304119K,,,,C H Mo O
10.1039/B305712G,,,,C Co H N
10.1039/B308892H,,,teXsan,
10.1039/B311748K,,,,C N Ti
10.1039/B400282B,B3LYP,"6-31+G(d) | 6-311++G(2d,p)",,C H N O S
10.1039/B409144B,BP86,LANL2DZ,,C H O P Pd
10.1039/B410260F,,,,C H N O
10.1039/B410846A,B3LYP,LANL2DZ,Gaussian 03,
10.1039/B412043D,,,,Cs
10.1039/B412371A,,,,C H Mn O Si
10.1039/B416429F,,,,C H O
10.1039/B416841K,,,,C H O
10.1039/B417111J,,,,C H N P Pd
10.1039/B500152H,,,,C Cl H N Ru
10.1039/B500198F,,,,C H Li N
10.1039/B500679A,B3LYP | BP86 | PBE,"6-31G(d,p) | de-IGLO-III-ext",Gaussian 03,
10.1039/B502115D,,,,C H Ni O
10.1039/B503355A,,,,C H N O
10.1039/B504567C,B3PW91,"6-31G(d,p) | IGLOO-II | Wachters",Gaussian 03,
10.1039/B505645B,,,,Ag
10.1039/B506929G,,,,C H
10.1039/B507242E,,,,C H In N
10.1039/B508192K,,,,C Cl H P Ru
10.1039/B508678G,,,,Au C H O P
10.1039/B509125J,,,,C H N Pd S
10.1039/B509351A,,,,C H O
10.1039/B510616H,,,,C H O P Ru
10.1039/B512656H,,,,C Cu H N S
10.1039/B512681A,,,,C Cl H N
10.1039/B512760B,,,,C H N Ru
10.1039/B513482J,,,,C H N Ru
10.1039/B513624E,,,,C Cl Co H N
10.1039/B514496E,,,,Al Ar As B Be Br C Ca Cl Co Cr Cu F Fe Ga Ge H He K Kr Li Mg Mn N Na Ne Ni O P Rb S Sc Se Si Sr Ti V Zn
10.1039/B516090A,,,,C Cl Cu H N
10.1039/B516130D,,,,C H Zr
10.1039/B516437K,,,,C H
10.1039/B516926G,,,,C H
10.1039/B517459G,B3LYP,"6-31G(d,p) | ECP28MWB",Gaussian 98,He
10.1039/B517497J,B3LYP | MP2 | MP4 | QCISD(T),"6-31+G(d) | 6-311+G(3df,2p) | 6-31G(2df,p) | 6-31G(d)",Gaussian | Gaussian 03,
10.1039/B518232H,,,,C H P Pd
10.1039/B518343J,,,,C H P
10.1039/B601590E,B3LYP | LYP,"6-311+G(3d) | 6-311+G(d,p) | 6-31G(d,p) | LANL2DZ",Gaussian 98,
10.1039/B601980C,,,,Ca Yb
10.1039/B603540J,,,SHELXL-97 | SHELXS | XP,
10.1039/B604060H,,,,C H I N
10.1039/B604290B,,,,C Cu H N S
10.1039/B604404B,,,,Au H P
10.1039/B604632K,,,,C H N O
10.1039/B604640A,,,,C Ga H N O V
10.1039/B604843A,BPW91,"6-311G(d,p)",Gaussian 98 | XD,
10.1039/B604994J,Becke non-local | Perdew non-local | Slater local density functional exchange | Vosko-Wilk-Nussair local density functional correlation,valence triple-ζ basis set (ECP2),Gaussian 03,C Fe H S
10.1039/B605509E,,,,C Fe H
10.1039/B606996G,,,,C H
10.1039/B608069C,,,,C Fe H N Ni O S
10.1039/B609908D,,,,B C H
10.1039/B609926B,,,,C H N O
10.1039/B610049J,,,,C H N P
10.1039/B610557B,B3LYP,6-31G(d),,
10.1039/B610899G,,,,C H N O S
10.1039/B610972A,,,,C H O Si
10.1039/B611195E,,,,B C H O
10.1039/B611338A,,,,C H N O P Ru Si
10.1039/B611359A,,,,C Co H O P
10.1039/B612384H,,,Gaussian 03,
10.1039/B612999B,,,,C F H N O
10.1039/B613011A,B3LYP,6-31++G**,,C H N O
10.1039/B613365G,B3LYP,(4s4p1d)/[2s2p1d] | (6s6p3d3f)/[4s4p3d3f] | (8s6p5d2f)/[6s5p3d2f],Gaussian 03,Au C F
10.1039/B613434C,,,,C H N
10.1039/B613655A,B3LYP,"6-311G(d,p) | 6-31G(d)",Gaussian 03,
10.1039/B615418B,,,,C H N
10.1039/B616102B,B3LYP,3-21G(d),,C Cl O P Pd Sn
10.1039/B616392K,,,,C H N O S
10.1039/B617425F,,,,La
10.1039/B617946K,,,,C H N O P
10.1039/B618050G,,,,C H N O
10.1039/B618555J,,,,C N
10.1039/B618995D,,,,C Co H N O
10.1039/B700132K,,,,Ag
10.1039/B700671C,,,"ORTEP-3 for Windows | SHELXL-97 | SHELXL-97, WinGX, ORTEP-3 for Windows | WinGX",
10.1039/B701617D,,,,C H S
10.1039/B701683B,,,,H P Rh
10.1039/B702501G,B3LYP,3-21G(d),Gaussian 03,
10.1039/B702680C,,,,C H
10.1039/B702767B,,,,B H P Rh S
10.1039/B702851B,,,,C H O P
10.1039/B703183A,,,,B
10.1039/B703766J,LDA,4 Gaussians for hydrogen (l=1) | 4 Gaussians for nitrogen (l=2) | contracted Gaussian basis for carbon (C44G*),AIMPRO1,
10.1039/B704871H,"BP86, B3LYP","Ahlrichs TZV for Fe, 6-31g(d) for C, H, N",,
10.1039/B704993P,,,,B C H N
10.1039/B705116F,,,,H O
10.1039/B705197B,BP86,"triple-ξ plus one polarization basis set, relativistic frozen-core basis set",ADF2005.01,B C H O
10.1039/B705264B,,,,C F H O
10.1039/B705934E,,,,C H
10.1039/B706164A,,,,C H N O
10.1039/B706607D,,,,C Cl H N O Pd
10.1039/B707786F,,,,C O Os
10.1039/B708268A,BeckeLYP,6-31G(d),Gaussian 03,Al Ar As B Be Br C Ca Cl Co Cr Cu F Fe Ga Ge H He K Kr Li Mg Mn Mo N Na Nb Ne Ni O P Rb Ru S Sc Se Si Sr Tc Ti V Y Zn Zr
10.1039/B708356B,,,,C H N W
10.1039/B709192C,,,,H
10.1039/B709249K,,,,B C Fe H N O
10.1039/B709408F,B3PW91,"(4s) contracted to (2s) | (7s, 6p, 6d) contracted to (5s, 5p, 3d)",Gaussian 03,C H P Ru Si
10.1039/B709832D,B3LYP,"6-31G(d,p) | LACV3P** | LACVP**",Jaguar,
10.1039/B709914B,,,,C H Ni P
10.1039/B710475H,B97-D,def2-TZVP | def2-TZVP',Turbomole,
10.1039/B710485E,,,,C H N S Si
10.1039/B711669A,,,,C H Lu N
10.1039/B711941K,B3PW91,"6-31G(d,p)",Gaussian 03,
10.1039/B712608E,,,,C F H O
10.1039/B714118A,,,,C Cl H O
10.1039/B714466K,,,,B C Cl F H N Ni S
10.1039/B714801A,,,,Al Ar B Be C Ca Cl Cr F H He K Li Mg Mn N Na Ne O P S Sc Si Ti V
10.1039/B715315E,,,,C H N O S
10.1039/B715939K,BP86,"6-31G(d,p) | Stuttgart-Bonn ECP",,C H
10.1039/B715996J,,,,C Cl H N S Zn
10.1039/B716024K,,,,C H O
10.1039/B716107G,B3LYP,6-31G(d),Gaussian 03,
10.1039/B716841A,B3LYP,"6-31G(d,p) | LACVP(d,p) | LANL2DZ",Gaussian 03,C Co H N
10.1039/B717744E,,,,C
10.1039/B718104C,,,,C H N O
10.1039/B718562F,,,,C H N
10.1039/B718770J,,,,C H N O Os
10.1039/B719274F,,,,Ag I
10.1039/B719331A,,,,Y
10.1039/B719375K,,,,H
10.1039/B719633D,,,,C H N O P Si Y
10.1039/B719641E,,,,C H N
10.1039/B800365C,,,,He
10.1039/B801496E,,,,C Cu H N O
10.1039/B801716F,,,,C H Mo O S
10.1039/B801951G,,,,Rh
10.1039/B802190B,,,,C H P Ru
10.1039/B802728E,B3LYP,"6-31G(d,p)",Gaussian 03,
10.1039/B803141J,,,,C Cl Si
10.1039/B803156H,PBE,"311-split for main group elements with one additional polarization p-function for hydrogen, additional two polarization d-functions for elements of higher periods",Priroda,C H N O Pd
10.1039/B803417F,,,,C H
10.1039/B803419M,,,,C H N Si Zr
10.1039/B803632B,B3LYP,"6-311++G(3df,3pd) | 6-31G(d,p) | LANL2DZ",Gaussian 03,C Cl Ir O
10.1039/B803734E,,,,H O
10.1039/B803947J,,,,C H S Si
10.1039/B804636K,local density approximation (LDA),"double ζ for 2s and 2p valence states (C) | double ζ for 3d and 4s (Cu) | double ζ for 5s, 5p and 6p (I) | single ζ for 3d (C) | single ζ for 3p (Cu) | single ζ for 5d and 6s (I)",SIESTA,
10.1039/B804999H,B3LYP,6-31G(d),Gaussian 98,
10.1039/B805161E,B3PW91,"6-31G(d,p) | Stuttgart-Dresden pseudopotential with adapted basis set",Gaussian 03,B C H P
10.1039/B805383A,,,,C Cr H O
10.1039/B806541A,B3LYP,"6-31G(d,p) | LANL2DZ",Gaussian 03,
10.1039/B806577B,,,,C Cl H O
10.1039/B807070A,,,,N O P W
10.1039/B807692H,,,,C Cu H N
10.1039/B808535H,B3LYP,6-31G(d),Gaussian 03,
10.1039/B808818G,,,,C H N
10.1039/B809321K,B3LYP,"6-31G(d) | 6-31G(d,p) | LANL2DZ",Gaussian 03,H
10.1039/B809543D,B3LYP,6-31G(d) | Ahlrichs' SVP,Gaussian 03,C H Li N
10.1039/B810220A,,,,C N O
10.1039/B810418B,,,,Al B Be C F H He Li Mg N Na Ne O
10.1039/B810585E,PBE0,6-31Gd(p),Gaussian 03,
10.1039/B810853F,,,,C H O
10.1039/B810878A,,,,C Cl H N O Si Sn
10.1039/B810901J,,,,C H N O Si
10.1039/B810941A,B3LYP | BLYP | HCTH | PBE0 | SVWN,6-31g(d) | TZP,Gaussian 03,
10.1039/B811284C,,,,C H O
10.1039/B811864G,B3LYP,"6-311g(d,p)** | 6-31g(d,p)",Gaussian 03,
10.1039/B811952J,BP86,TZVP,Gaussian | Turbomole,C H
10.1039/B812261J,B3LYP,LACVP**,Jaguar,
10.1039/B813008F,,,,H
10.1039/B813790K,,,,Br C Cu H N
10.1039/B814850C,,,,C H N S
10.1039/B815044C,,,Bruker Topspin 1.3,
10.1039/B815436H,,,,C H Mo N S
10.1039/B815458A,,,,C H N O P
10.1039/B815665D,"B3LYP, M06","LACV3P**++, LACVP**",,
10.1039/B815699A,,,,C H N P Ru
10.1039/B815909B,,,,H
10.1039/B816036H,B3PW91,6-31G(d) | LACV3P,Jaguar,
10.1039/B816066J,B3LYP,"6-31G(d,p) | LACV3P | LACVP | cc-pVTZ(-f)",Jaguar,
10.1039/B816264F,B3LYP,"6-311G(d,p) | 6-31G(d)",Gaussian 03,
10.1039/B816739G,BP86,"6-31G(d,p) | Stuttgart RECPs",Gaussian 03,
10.1039/B817055J,,,,C H O
10.1039/B817436A,,,,C H O P
10.1039/B817509H,,,,H O P
10.1039/B817713A,,,,C H N Pt
10.1039/B817849F,,,,C H O
10.1039/B817990E,Becke’s three-parameter hybrid functional | Lee-Yang-Parr’s gradient corrected correlation functional,6-31G(d),Gaussian 03,
10.1039/B818655C,,,,C H
10.1039/B818744D,,,Gaussian 03,
10.1039/B818920J,,,,B C F H N P
10.1039/B819008A,B3LYP,"6-31G(d,p)",Gaussian 03,C H N O S
10.1039/B819072K,B3PW91,Stuttgart-Dresden basis set (SDD),Gaussian 03,C Fe H N Nd O Si
10.1039/B819764D,,,,C H N O
10.1039/B820006H,,,,C Cl H N O
10.1039/B820032G,PBE,DNP,CASTEP | DMol3 | JEMS | MS Modelling 4.0 | ShelXL-97,
10.1039/B820115C,,,,C Cl H Ru
10.1039/B820540J,B3LYP,DGDZVP,Gaussian 03,
10.1039/B820812C,B3LYP,6-311+G* | 6-31G | LACV3P+ | LANL2DZ,Gaussian 03 | Jaguar,
10.1039/B821029B,B3LYP | BP86,"6-31G | 6-31g(d,p) | Stuttgart-Bonn ECP",Gaussian 03,C H Mn N O
10.1039/B821230A,,,,C H N
10.1039/B821577D,,,,H Np O
10.1039/B821854D,B3LYP,LACV3P**++ | LACVP**,not specified,
10.1039/B821907A,,,,B Be C He Li N
10.1039/B822109J,,,,C Cu F H N P
10.1039/B822371H,,,,Ag C H
10.1039/B822777B,,,,C H O
10.1039/B822874D,,,,C H O
10.1039/B822910D,,,,C H
10.1039/B823303A,B3LYP,LACV3P++** | LACVP**,Jaguar,
10.1039/B900287A,,,,C H N
10.1039/B900571D,B3PW91,"6-31G(d,p) | Stuttgart-Dresden pseudopotential",Gaussian 03,C H N O U
10.1039/B900869A,,,,C Cu H N O
10.1039/B901192G,,,,C N Ni O P S
10.1039/B901307E,B3LYP,6-31G(d),,
10.1039/B901643K,B3LYP,6-31G,,Al Ar B Be C Ca Cl Cr F H He K Li Mg Mn N Na Ne O P S Sc Si Ti V
10.1039/B901697J,,,,C H P Pt S
10.1039/B901724K,,,,H O U
10.1039/B902037C,,,,C H N O Ru
10.1039/B902366F,,,,C Cl H N O Sn
10.1039/B902424G,,,,C H
10.1039/B902517K,,,,C H S
10.1039/B902647A,B3LYP,6-31G(d),Spartan,
10.1039/B902729G,B3LYP,"6-311+G(d,p) | 6-31G(d,p)",Gaussian 03,C H O
10.1039/B902947H,,,,C Cu F H N O S
10.1039/B903413G,,,,H N
10.1039/B903522B,,,,Ac Ag Al Am Ar As At Au B Ba Be Bi Bk Br C Ca Cd Ce Cf Cl Cm Co Cr Cs Cu Db Dy Er Es Eu F Fe Fm Fr Ga Gd Ge H He Hf Hg Ho I In Ir K Kr La Li Lr Lu Md Mg Mn Mo N Na Nb Nd Ne Ni No Np O Os P Pa Pb Pd Pm Po Pr Pt Pu Ra Rb Re Rf Rh Rn Ru S Sb Sc Se Sg Si Sm Sn Sr Ta Tb Tc Te Th Ti Tl Tm U V W Xe Y Yb Zn Zr
10.1039/B903847G,,,,Fe H O
10.1039/B903867A,,,,C Cu H N
10.1039/B904139G,,,,C Ce H O
10.1039/B904491D,,,,Au C H Pd S
10.1039/B905137F,,,,Li
10.1039/B905317D,,,,C H
10.1039/B905469C,,,,C H Ir N O
10.1039/B905593B,,,,C Cl Cu H N O
10.1039/B905615G,,,,C Cu H N O S
10.1039/B905676A,,,,Cl Mg
10.1039/B905717J,,,CAMERON | CRYSTALS | DENZO/SCALEPACK | SIR92,
10.1039/B906058H,,,,C H O
10.1039/B906319F,B97-D,SV(P) | TZV2P | TZVP,Turbomole,
10.1039/B906554G,local density approximation (LDA) with the correlation potential due to Vosko et al.,Slater type orbital (STO) triple-ζ-plus polarization all-electron basis sets,Amsterdam Density Functional (ADF) suite version 2007.01,C H N Re Si U
10.1039/B906692F,,,,H O
10.1039/B906866J,,,,C Cl Fe H N O
10.1039/B906883J,,,,C F O Rh
10.1039/B907000A,,,,C H N O P
10.1039/B907038A,,,,C Ca H Mn N O
10.1039/B907278K,,,,C H O V
10.1039/B907335C,,,,C Cl H N Zr
10.1039/B907813D,B3PW91,6-31+G* | 6-311+G* | LANL2DZ,Gaussian 03,B C H P Rh
10.1039/B908188G,,,,C H O P
10.1039/B908433A,,,,C H N O
10.1039/B908737K,,,,F
10.1039/B908805A,,,,B C F H N O Zr
10.1039/B908954C,PBE,"6-31G(d,p) | LACV3P | LACVP | cc-pVTZ(-f)",Jaguar,C Cl H Ir N P Si
10.1039/B909653A,,,,C H N O
10.1039/B909852F,,,,C H Ir N P
10.1039/B909909C,B3LYP,6-31G(d),Gaussian 03,
10.1039/B910036A,,,,C Cl H Si Zr
10.1039/B910338D,B3LYP | PBE0,"6-311++G(d,p) | 6-31G(2d,p)",Gaussian 03,
10.1039/B910339B,,,,C H Ti
10.1039/B910410K,B3LYP,"6-31G(d,p) | LACVP | cc-pVTZ(-f)",Jaguar,C H N P V
10.1039/B910521B,,,,Al Ar As B Be Br C Ca Cl Co Cr Cu F Fe Ga Ge H He K Kr Li Mg Mn Mo N Na Nb Ne Ni O P Rb S Sc Se Si Sr Ti V Y Zn Zr
10.1039/B910589A,,,,C H Ir P S
10.1039/B910654E,"B3LYP, MPW1K",,,
10.1039/B911253G,PBE,AV5Z | AVDZ | AVQZ | AVTZ,,
10.1039/B911384C,,,Gaussian 03,C Ge H P S
10.1039/B911481E,,,HKL Denzo and Scalepack,
10.1039/B911644C,,,,C H N O
10.1039/B912040H,,,,B C H N Ni O P
10.1039/B912509D,B3LYP,"6-311+G(2d,p) | 6-31G(d)",Gaussian 03,C O
10.1039/B912943J,B3PW91,"6-31G(d,p) | RECP with d polarization function for S | RECP with f polarization function for Rh",Gaussian 03,
10.1039/B913068C,,,,C H I N Pd
10.1039/B913319D,PBE,311-split,Priroda,B C H N Pt
10.1039/B913463H,,,,C Cu H N O
10.1039/B913714A,Perdew | local exchange-correlation potential of Vosko et al | nonlocal gradient corrections of Becke,triple-z Slater-type orbital basis set (ADF basis set IV),ADF | Gaussian 98,
10.1039/B914083B,B3LYP,6-31G(d) | LANL2DZ,Gaussian 03,
10.1039/B914103K,B3LYP,3-21G(d),Gaussian 03,
10.1039/B914417J,,,,H N
10.1039/B915269E,,,,C H N
10.1039/B915427B,,,,C H N O
10.1039/B915468J,,,,C Cl H O P Zr
10.1039/B916065E,,,,F
10.1039/B916677G,B3LYP,D95 | D95V | LANL2DZ,Gaussian 03,
10.1039/B917487G,,,,C H N Rh
10.1039/B917585G,,,,C H Mo O Zn
10.1039/B917632B,BP86,SV(P) | ZORA/TZP,ADF | Turbomole,
10.1039/B917636E,,,,C H
10.1039/B917850C,,,,C H N O
10.1039/B917892A,,,,Br C H N Ni
10.1039/B917934H,,,,C H N P Ru
10.1039/B917969K,,,,H O
10.1039/B918103B,,,,C H
10.1039/B918912B,B3LYP | mPW1PW91,"6-311++G(d,p) | 6-311+G(d) | SDD",Gaussian 03,
10.1039/B919176C,,,,C O Ru Te
10.1039/B919209C,,,,H P Rh
10.1039/B919274C,,,,C Cu H N O
10.1039/B919779F,,,,C Fe H O Si
10.1039/B919821K,,,,C H
10.1039/B919860A,,,,C
10.1039/B920090H,B3PW91,"6-31G(d,p) | RECP from the Stuttgart group (for Ti and Si)",Gaussian 03,C F N
10.1039/B920113K,,,Materials Studio,
10.1039/B920949M,,,,C H Pd
10.1039/B921121G,,,,C H N O
10.1039/B921153E,,,,C Co H N O
10.1039/B921492E,,,,C H
10.1039/B921563H,,,,B Be C F H He Li N Na Ne O
10.1039/B921720G,,,,C H N O Ti
10.1039/B921897A,,,,C H N O
10.1039/B922191N,,,,B C Cl F H Mn O P
10.1039/B922326F,B3LYP,DZVP,Gaussian 03,C Cl H Mg
10.1039/B922554D,,,AS1WIN,
10.1039/B922617F,,,,Al H Na Ti
10.1039/B923106D,,,,C Sc
10.1039/B923243E,,,,C H N S
10.1039/B923457H,,,,C H N O Zr
10.1039/B923606F,B3LYP,6-31G(d),Gaussian 98,C F Ge H Si
10.1039/B923652J,B3LYP,6-31G(d) | Stuttgart RSC 1997 ECP,Gaussian 03,
10.1039/B924091H,B3PW91,"6-311G(d,p)",Gaussian 03,C H
10.1039/B924400J,,,,C H N O
10.1039/B924609F,,,,C H O
10.1039/B924613D,,,,As C H N P Pd
10.1039/B924716E,B3LYP,"6-31G(d,p)",Gaussian 03,
10.1039/B924783C,,,,C Cl H N P Pt Sn
10.1039/B924967B,BP86-D3,SDD | TZVP,Gaussian 03 | Turbomole,C H La Li N O Sn
10.1039/B924980J,,,,H
10.1039/B924999K,,,,H N Ti
10.1039/B925259B,,,,C
10.1039/B925367J,,,,C H N O
10.1039/B925781K,B3LYP,SV(P),Turbomole,
10.1039/B926098F,,,,C Cu H N O
10.1039/B926497C,B3LYP,cc-pVDZ,Gaussian 03,C H N
10.1039/B926536H,,,,C H O
10.1039/B926542B,,,,C H Rh
10.1039/B926963K,BP86,14s11p6d/10s8p3d for Fe | 9s5p/4s2p for C and O | Huzinaga-Dunning DZ for H,NWChem,C Fe H O
10.1039/B926990H,,,,C H Mn N O
10.1039/B927489H,,,,C H N O
10.1039/B9NJ00333A,,,,C H O
10.1039/B9NJ00340A,,,,C Mn O S
10.1039/B9NJ00474B,,,,C H N O
10.1039/B9NJ00702D,,,,C H O
10.1039/C000141D,,,,C Cr H O S
10.1039/C000679C,,,,C H N Sn
10.1039/C001017K,,,,C H Ti
10.1039/C001097A,,,,C H Mg N O P
10.1039/C001286F,,,,H Mn N O
10.1039/C001487G,PBE,"311-split | 311-split, LACVP","Priroda | Priroda, Jaguar",C F H N P Pt
10.1039/C001675F,"B3LYP | B3LYP, BP86 | BP86",LACV3P**++,Jaguar,
10.1039/C001689F,,,,C Cl H Ti
10.1039/C001776K,,,,C H N
10.1039/C001848A,,,,C H Sn
10.1039/C002301A,,,,C Mn N
10.1039/C002318C,,,,O Se W
10.1039/C002401E,B3LYP,6-31G(d) | LANL2DZ,Gaussian 03,
10.1039/C002435J,BP86,def2-TZVP,Turbomole,
10.1039/C002475A,,,,C Cl H N Pd
10.1039/C002576C,,,,C H
10.1039/C002689A,,,,H O P
10.1039/C002870C,B3LYP | BP86,"6-311G(d) | 6-311G(d,p) | LANL2DZ | SDD",Gaussian 03,
10.1039/C002926B,,,,C Cl H N O P
10.1039/C003056M,,,,C Cl H N O P Rh
10.1039/C003163A,B3LYP,6-31+G* | LANL2DZ,Gaussian 03,
10.1039/C003174G,,,,C Cl H N Pd
10.1039/C003218B,,,,C Cl H N P Ru
10.1039/C003266B,,,,C H N
10.1039/C004284F,,,,F
10.1039/C004404K,,,,C H Mo O S
10.1039/C004496B,,,,B C
10.1039/C004932H,,,,C H O
10.1039/C0CC00086H,PW91,cc-pVDZ | cc-pVDZ-PP,Gaussian 03,Au C H N O
10.1039/C0CC00130A,B3LYP,6-31+G(d),Gaussian 03,B C H Li N P
10.1039/C0CC00192A,,,,Cl Rh Se
10.1039/C0CC00235F,,,NWChem,
10.1039/C0CC00283F,"Vosko, Wilk, and Nusair",TZ2P,Amsterdam Density Functional Package 2008.012-4,
10.1039/C0CC00292E,,"LACVP, LACV3P*+",Gaussian 03,C H N
